"team","conf","w","l","tm_pts","op_pts","ssn","playoff","conf_rank","pt_diff"
"New York Knicks","east","33","49",106.2,108.9,"1982","n",10,-2.7
"Milwaukee Bucks","east","55","27",108.4,102.9,"1982","y",2,5.5
"Atlanta Hawks","east","42","40",101,100.5,"1982","y",6,0.5
"Detroit Pistons","east","39","43",111.1,112,"1982","n",7,-0.900000000000006
"Indiana Pacers","east","35","47",102.2,104,"1982","n",8,-1.8
"Chicago Bulls","east","34","48",106.6,108.6,"1982","n",9,-2
"Cleveland Cavaliers","east","15","67",103.2,111.7,"1982","n",11,-8.5
"Philadelphia 76ers","east","65","17",112.1,104.4,"1983","y",1,7.69999999999999
"Boston Celtics","east","56","26",112.1,106.7,"1983","y",3,5.39999999999999
"New Jersey Nets","east","49","33",105.8,103,"1983","y",4,2.8
"New York Knicks","east","44","38",100,97.5,"1983","y",5,2.5
"Washington Bullets","east","42","40",99.2,99.3,"1983","n",7,-0.0999999999999943
"Milwaukee Bucks","east","51","31",106.6,102.2,"1983","y",2,4.39999999999999
"Atlanta Hawks","east","43","39",101.6,102.6,"1983","y",6,-1
"Detroit Pistons","east","37","45",112.7,113.1,"1983","n",8,-0.399999999999991
"Chicago Bulls","east","28","54",111,115.9,"1983","n",9,-4.90000000000001
"Cleveland Cavaliers","east","23","59",97.1,104.6,"1983","n",10,-7.5
"Indiana Pacers","east","20","62",108.7,114.5,"1983","n",11,-5.8
"Boston Celtics","east","62","20",112.1,105.6,"1984","y",1,6.5
"Philadelphia 76ers","east","52","30",107.8,105.6,"1984","y",3,2.2
"New York Knicks","east","47","35",106.9,103,"1984","y",5,3.90000000000001
"New Jersey Nets","east","45","37",110,108.9,"1984","y",6,1.09999999999999
"Washington Bullets","east","35","47",102.7,105.6,"1984","y",8,-2.89999999999999
"Milwaukee Bucks","east","50","32",105.7,101.5,"1984","y",2,4.2
"Detroit Pistons","east","49","33",117.1,113.5,"1984","y",4,3.59999999999999
"Atlanta Hawks","east","40","42",101.5,102.8,"1984","y",7,-1.3
"Cleveland Cavaliers","east","28","54",102.3,106.5,"1984","n",9,-4.2
"Chicago Bulls","east","27","55",103.7,108.9,"1984","n",10,-5.2
"Indiana Pacers","east","26","56",104.5,109.3,"1984","n",11,-4.8
"Boston Celtics","east","63","19",114.8,108.1,"1985","y",1,6.7
"Philadelphia 76ers","east","58","24",112.9,108.8,"1985","y",3,4.10000000000001
"New Jersey Nets","east","42","40",109.5,109.2,"1985","y",5,0.299999999999997
"Washington Bullets","east","40","42",105.5,105.8,"1985","y",6,-0.299999999999997
"New York Knicks","east","24","58",105.2,109.8,"1985","n",10,-4.59999999999999
"Milwaukee Bucks","east","59","23",110.9,104,"1985","y",2,6.90000000000001
"Detroit Pistons","east","46","36",116,113.5,"1985","y",4,2.5
"Chicago Bulls","east","38","44",108.7,109.6,"1985","y",7,-0.899999999999991
"Cleveland Cavaliers","east","36","46",108.6,111.3,"1985","y",8,-2.7
"Atlanta Hawks","east","34","48",106.6,108.1,"1985","n",9,-1.5
"Indiana Pacers","east","22","60",108.3,114.5,"1985","n",11,-6.2
"Boston Celtics","east","67","15",114.1,104.7,"1986","y",1,9.39999999999999
"Philadelphia 76ers","east","54","28",110.4,108,"1986","y",3,2.40000000000001
"Washington Bullets","east","39","43",103,104.8,"1986","y",6,-1.8
"New Jersey Nets","east","39","43",109.1,111.1,"1986","y",7,-2
"New York Knicks","east","23","59",98.7,104.3,"1986","n",11,-5.59999999999999
"Milwaukee Bucks","east","57","25",114.5,105.5,"1986","y",2,9
"Atlanta Hawks","east","50","32",108.6,106.2,"1986","y",4,2.39999999999999
"Detroit Pistons","east","46","36",114.2,113,"1986","y",5,1.2
"Chicago Bulls","east","30","52",109.3,113.1,"1986","y",8,-3.8
"Cleveland Cavaliers","east","29","53",107.8,110.6,"1986","n",9,-2.8
"Indiana Pacers","east","26","56",103.9,107.2,"1986","n",10,-3.3
"Boston Celtics","east","59","23",112.6,106,"1987","y",1,6.59999999999999
"Philadelphia 76ers","east","45","37",106.5,106.6,"1987","y",5,-0.0999999999999943
"Washington Bullets","east","42","40",106,107.3,"1987","y",6,-1.3
"New Jersey Nets","east","24","58",108.5,113.5,"1987","n",10,-5
"New York Knicks","east","24","58",103.8,110,"1987","n",11,-6.2
"Atlanta Hawks","east","57","25",110,102.8,"1987","y",2,7.2
"Detroit Pistons","east","52","30",111.2,107.8,"1987","y",3,3.40000000000001
"Milwaukee Bucks","east","50","32",110.4,106.5,"1987","y",4,3.90000000000001
"Indiana Pacers","east","41","41",106.1,106.7,"1987","y",7,-0.600000000000009
"Chicago Bulls","east","40","42",104.8,103.9,"1987","y",8,0.899999999999991
"Cleveland Cavaliers","east","31","51",104.4,108.2,"1987","n",9,-3.8
"Boston Celtics","east","57","25",113.6,107.7,"1988","y",1,5.89999999999999
"Washington Bullets","east","38","44",105.5,106.3,"1988","y",7,-0.799999999999997
"New York Knicks","east","38","44",105.5,106,"1988","y",8,-0.5
"Philadelphia 76ers","east","36","46",105.7,107.1,"1988","n",10,-1.39999999999999
"New Jersey Nets","east","19","63",100.4,108.5,"1988","n",11,-8.09999999999999
"Detroit Pistons","east","54","28",109.2,104.1,"1988","y",2,5.10000000000001
"Chicago Bulls","east","50","32",105,101.6,"1988","y",3,3.40000000000001
"Atlanta Hawks","east","50","32",107.9,104.3,"1988","y",4,3.60000000000001
"Milwaukee Bucks","east","42","40",106.1,105.5,"1988","y",5,0.599999999999994
"Cleveland Cavaliers","east","42","40",104.5,103.7,"1988","y",6,0.799999999999997
"Indiana Pacers","east","38","44",104.6,105.4,"1988","n",9,-0.800000000000011
"New York Knicks","east","52","30",116.7,112.9,"1989","y",2,3.8
"Philadelphia 76ers","east","46","36",111.9,110.4,"1989","y",7,1.5
"Boston Celtics","east","42","40",109.2,108.1,"1989","y",8,1.10000000000001
"Washington Bullets","east","40","42",108.3,110.4,"1989","n",9,-2.10000000000001
"New Jersey Nets","east","26","56",103.7,110.1,"1989","n",11,-6.39999999999999
"Charlotte Hornets","east","20","62",104.5,113,"1989","n",12,-8.5
"Detroit Pistons","east","63","19",106.6,100.8,"1989","y",1,5.8
"Cleveland Cavaliers","east","57","25",108.8,101.2,"1989","y",3,7.59999999999999
"Atlanta Hawks","east","52","30",111,106.1,"1989","y",4,4.90000000000001
"Milwaukee Bucks","east","49","33",108.9,105.3,"1989","y",5,3.60000000000001
"Chicago Bulls","east","47","35",106.4,105,"1989","y",6,1.40000000000001
"Indiana Pacers","east","28","54",106.9,111.1,"1989","n",10,-4.19999999999999
"Philadelphia 76ers","east","53","29",110.2,105.2,"1990","y",2,5
"Boston Celtics","east","52","30",110,106,"1990","y",4,4
"New York Knicks","east","45","37",108.3,106.9,"1990","y",5,1.39999999999999
"Washington Bullets","east","31","51",107.7,109.9,"1990","n",10,-2.2
"Miami Heat","east","18","64",100.6,110.3,"1990","n",11,-9.7
"New Jersey Nets","east","17","65",100.1,108,"1990","n",13,-7.90000000000001
"Detroit Pistons","east","59","23",104.3,98.3,"1990","y",1,6
"Chicago Bulls","east","55","27",109.5,106.2,"1990","y",3,3.3
"Milwaukee Bucks","east","44","38",106,106.8,"1990","y",6,-0.799999999999997
"Cleveland Cavaliers","east","42","40",102.6,102.9,"1990","y",7,-0.300000000000011
"Indiana Pacers","east","42","40",109.3,109.1,"1990","y",8,0.200000000000003
"Atlanta Hawks","east","41","41",108.5,107.5,"1990","n",9,1
"Orlando Magic","east","18","64",110.9,119.8,"1990","n",12,-8.89999999999999
"Boston Celtics","east","56","26",111.5,105.7,"1991","y",2,5.8
"Philadelphia 76ers","east","44","38",105.4,105.6,"1991","y",5,-0.199999999999989
"New York Knicks","east","39","43",103.1,103.3,"1991","y",8,-0.200000000000003
"Washington Bullets","east","30","52",101.4,106.4,"1991","n",10,-5
"New Jersey Nets","east","26","56",102.9,107.5,"1991","n",11,-4.59999999999999
"Miami Heat","east","24","58",101.8,107.8,"1991","n",13,-6
"Chicago Bulls","east","61","21",110,101,"1991","y",1,9
"Detroit Pistons","east","50","32",100.1,96.8,"1991","y",3,3.3
"Milwaukee Bucks","east","48","34",106.4,104,"1991","y",4,2.40000000000001
"Atlanta Hawks","east","43","39",109.8,109,"1991","y",6,0.799999999999997
"Indiana Pacers","east","41","41",111.7,112.1,"1991","y",7,-0.399999999999991
"Cleveland Cavaliers","east","33","49",101.7,104.2,"1991","n",9,-2.5
"Charlotte Hornets","east","26","56",102.8,108,"1991","n",12,-5.2
"Boston Celtics","east","51","31",106.6,103,"1992","y",2,3.59999999999999
"New York Knicks","east","51","31",101.6,97.7,"1992","y",4,3.89999999999999
"New Jersey Nets","east","40","42",105.4,107.1,"1992","y",6,-1.69999999999999
"Miami Heat","east","38","44",105,109.2,"1992","y",8,-4.2
"Philadelphia 76ers","east","35","47",101.9,103.2,"1992","n",10,-1.3
"Washington Bullets","east","25","57",102.4,106.8,"1992","n",13,-4.39999999999999
"Orlando Magic","east","21","61",101.6,108.5,"1992","n",14,-6.90000000000001
"Chicago Bulls","east","67","15",109.9,99.5,"1992","y",1,10.4
"Cleveland Cavaliers","east","57","25",108.9,103.4,"1992","y",3,5.5
"Detroit Pistons","east","48","34",98.9,96.9,"1992","y",5,2
"Indiana Pacers","east","40","42",112.2,110.3,"1992","y",7,1.90000000000001
"Atlanta Hawks","east","38","44",106.2,107.7,"1992","n",9,-1.5
"Milwaukee Bucks","east","31","51",105,106.7,"1992","n",11,-1.7
"Charlotte Hornets","east","31","51",109.5,113.4,"1992","n",12,-3.90000000000001
"New York Knicks","east","60","22",101.6,95.4,"1993","y",1,6.19999999999999
"Boston Celtics","east","48","34",103.7,102.8,"1993","y",4,0.900000000000006
"New Jersey Nets","east","43","39",102.8,101.6,"1993","y",6,1.2
"Orlando Magic","east","41","41",105.5,104.2,"1993","n",9,1.3
"Miami Heat","east","36","46",103.6,104.7,"1993","n",11,-1.10000000000001
"Philadelphia 76ers","east","26","56",104.3,110.1,"1993","n",13,-5.8
"Washington Bullets","east","22","60",101.9,108.9,"1993","n",14,-7
"Chicago Bulls","east","57","25",105.2,98.9,"1993","y",2,6.3
"Cleveland Cavaliers","east","54","28",107.7,101.3,"1993","y",3,6.40000000000001
"Charlotte Hornets","east","44","38",110.1,110.4,"1993","y",5,-0.300000000000011
"Atlanta Hawks","east","43","39",107.5,108.4,"1993","y",7,-0.900000000000006
"Indiana Pacers","east","41","41",107.8,106.1,"1993","y",8,1.7
"Detroit Pistons","east","40","42",100.6,102,"1993","n",10,-1.40000000000001
"Milwaukee Bucks","east","28","54",102.3,106.1,"1993","n",12,-3.8
"New York Knicks","east","57","25",98.5,91.5,"1994","y",2,7
"Orlando Magic","east","50","32",105.7,101.8,"1994","y",4,3.90000000000001
"New Jersey Nets","east","45","37",103.2,101,"1994","y",7,2.2
"Miami Heat","east","42","40",103.4,100.7,"1994","y",8,2.7
"Boston Celtics","east","32","50",100.8,105.1,"1994","n",10,-4.3
"Philadelphia 76ers","east","25","57",98,105.6,"1994","n",11,-7.59999999999999
"Washington Bullets","east","24","58",100.4,107.7,"1994","n",12,-7.3
"Atlanta Hawks","east","57","25",101.4,96.2,"1994","y",1,5.2
"Chicago Bulls","east","55","27",98,94.9,"1994","y",3,3.09999999999999
"Indiana Pacers","east","47","35",101,97.5,"1994","y",5,3.5
"Cleveland Cavaliers","east","47","35",101.2,97.1,"1994","y",6,4.10000000000001
"Charlotte Hornets","east","41","41",106.5,106.7,"1994","n",9,-0.200000000000003
"Milwaukee Bucks","east","20","62",96.9,103.4,"1994","n",13,-6.5
"Detroit Pistons","east","20","62",96.9,104.7,"1994","n",14,-7.8
"Orlando Magic","east","57","25",110.9,103.8,"1995","y",1,7.10000000000001
"New York Knicks","east","55","27",98.2,95.1,"1995","y",3,3.10000000000001
"Boston Celtics","east","35","47",102.8,104.7,"1995","y",8,-1.90000000000001
"Miami Heat","east","32","50",101.1,102.8,"1995","n",10,-1.7
"New Jersey Nets","east","30","52",98.1,101.2,"1995","n",11,-3.10000000000001
"Philadelphia 76ers","east","24","58",95.4,100.4,"1995","n",13,-5
"Washington Bullets","east","21","61",100.5,106.1,"1995","n",14,-5.59999999999999
"Indiana Pacers","east","52","30",99.2,95.5,"1995","y",2,3.7
"Charlotte Hornets","east","50","32",100.6,97.3,"1995","y",4,3.3
"Chicago Bulls","east","47","35",101.5,96.7,"1995","y",5,4.8
"Cleveland Cavaliers","east","43","39",90.5,89.8,"1995","y",6,0.700000000000003
"Atlanta Hawks","east","42","40",96.6,95.3,"1995","y",7,1.3
"Milwaukee Bucks","east","34","48",99.3,103.7,"1995","n",9,-4.40000000000001
"Detroit Pistons","east","28","54",98.2,105.5,"1995","n",12,-7.3
"Orlando Magic","east","60","22",104.5,99,"1996","y",2,5.5
"New York Knicks","east","47","35",97.2,94.9,"1996","y",5,2.3
"Miami Heat","east","42","40",96.5,95,"1996","y",8,1.5
"Washington Bullets","east","39","43",102.5,101.5,"1996","n",10,1
"Boston Celtics","east","33","49",103.6,107,"1996","n",11,-3.40000000000001
"New Jersey Nets","east","30","52",93.7,97.9,"1996","n",12,-4.2
"Philadelphia 76ers","east","18","64",94.5,104.5,"1996","n",15,-10
"Chicago Bulls","east","72","10",105.2,92.9,"1996","y",1,12.3
"Indiana Pacers","east","52","30",99.3,96.1,"1996","y",3,3.2
"Cleveland Cavaliers","east","47","35",91.1,88.5,"1996","y",4,2.59999999999999
"Atlanta Hawks","east","46","36",98.3,97.1,"1996","y",6,1.2
"Detroit Pistons","east","46","36",95.4,92.9,"1996","y",7,2.5
"Charlotte Hornets","east","41","41",102.8,103.4,"1996","n",9,-0.600000000000009
"Milwaukee Bucks","east","25","57",95.6,100.9,"1996","n",13,-5.30000000000001
"Toronto Raptors","east","21","61",97.5,105,"1996","n",14,-7.5
"Miami Heat","east","61","21",94.8,89.3,"1997","y",2,5.5
"New York Knicks","east","57","25",95.4,92.2,"1997","y",3,3.2
"Orlando Magic","east","45","37",94.1,94.5,"1997","y",7,-0.400000000000006
"Washington Bullets","east","44","38",99.4,97.7,"1997","y",8,1.7
"New Jersey Nets","east","26","56",97.2,101.8,"1997","n",13,-4.59999999999999
"Philadelphia 76ers","east","22","60",100.2,106.7,"1997","n",14,-6.5
"Boston Celtics","east","15","67",100.6,107.9,"1997","n",15,-7.30000000000001
"Chicago Bulls","east","69","13",103.1,92.3,"1997","y",1,10.8
"Atlanta Hawks","east","56","26",94.8,89.4,"1997","y",4,5.39999999999999
"Detroit Pistons","east","54","28",94.2,88.9,"1997","y",5,5.3
"Charlotte Hornets","east","54","28",98.9,97,"1997","y",6,1.90000000000001
"Cleveland Cavaliers","east","42","40",87.5,85.6,"1997","n",9,1.90000000000001
"Indiana Pacers","east","39","43",95.4,94.4,"1997","n",10,1
"Milwaukee Bucks","east","33","49",95.3,97.2,"1997","n",11,-1.90000000000001
"Toronto Raptors","east","30","52",95.5,98.6,"1997","n",12,-3.09999999999999
"Miami Heat","east","55","27",95,90,"1998","y",2,5
"New York Knicks","east","43","39",91.6,89.1,"1998","y",7,2.5
"New Jersey Nets","east","43","39",99.6,98.1,"1998","y",8,1.5
"Washington Wizards","east","42","40",97.2,96.6,"1998","n",9,0.600000000000009
"Orlando Magic","east","41","41",90.1,91.2,"1998","n",10,-1.10000000000001
"Boston Celtics","east","36","46",95.9,98.5,"1998","n",12,-2.59999999999999
"Philadelphia 76ers","east","31","51",93.3,95.7,"1998","n",14,-2.40000000000001
"Chicago Bulls","east","62","20",96.7,89.6,"1998","y",1,7.10000000000001
"Indiana Pacers","east","58","24",96,89.9,"1998","y",3,6.09999999999999
"Charlotte Hornets","east","51","31",96.6,94.6,"1998","y",4,2
"Atlanta Hawks","east","50","32",95.9,92.3,"1998","y",5,3.60000000000001
"Cleveland Cavaliers","east","47","35",92.5,89.8,"1998","y",6,2.7
"Detroit Pistons","east","37","45",94.2,92.6,"1998","n",11,1.60000000000001
"Milwaukee Bucks","east","36","46",94.5,96.4,"1998","n",13,-1.90000000000001
"Toronto Raptors","east","16","66",94.9,104.2,"1998","n",15,-9.3
"Miami Heat","east","33","17",89,84,"1999","y",1,5
"Orlando Magic","east","33","17",89.5,86.9,"1999","y",3,2.59999999999999
"Philadelphia 76ers","east","28","22",89.7,87.6,"1999","y",6,2.10000000000001
"New York Knicks","east","27","23",86.4,85.4,"1999","y",8,1
"Boston Celtics","east","19","31",93,94.9,"1999","n",12,-1.90000000000001
"Washington Wizards","east","18","32",91.2,93.4,"1999","n",13,-2.2
"New Jersey Nets","east","16","34",91.4,95.2,"1999","n",14,-3.8
"Indiana Pacers","east","33","17",94.7,90.9,"1999","y",2,3.8
"Atlanta Hawks","east","31","19",86.3,83.4,"1999","y",4,2.89999999999999
"Detroit Pistons","east","29","21",90.4,86.9,"1999","y",5,3.5
"Milwaukee Bucks","east","28","22",91.7,90,"1999","y",7,1.7
"Charlotte Hornets","east","26","24",92.9,93,"1999","n",9,-0.0999999999999943
"Toronto Raptors","east","23","27",91.1,92.8,"1999","n",10,-1.7
"Cleveland Cavaliers","east","22","28",86.4,88.2,"1999","n",11,-1.8
"Chicago Bulls","east","13","37",81.9,91.4,"1999","n",15,-9.5
"Miami Heat","east","52","30",94.4,91.3,"2000","y",2,3.10000000000001
"New York Knicks","east","50","32",92.1,90.7,"2000","y",3,1.39999999999999
"Philadelphia 76ers","east","49","33",94.8,93.4,"2000","y",5,1.39999999999999
"Orlando Magic","east","41","41",100.1,99.4,"2000","n",9,0.699999999999989
"Boston Celtics","east","35","47",99.3,100.1,"2000","n",10,-0.799999999999997
"New Jersey Nets","east","31","51",98,99,"2000","n",12,-1
"Washington Wizards","east","29","53",96.6,99.9,"2000","n",13,-3.30000000000001
"Indiana Pacers","east","56","26",101.3,96.7,"2000","y",1,4.59999999999999
"Charlotte Hornets","east","49","33",98.4,95.8,"2000","y",4,2.60000000000001
"Toronto Raptors","east","45","37",97.2,97.3,"2000","y",6,-0.0999999999999943
"Detroit Pistons","east","42","40",103.5,102,"2000","y",7,1.5
"Milwaukee Bucks","east","42","40",101.2,101,"2000","y",8,0.200000000000003
"Cleveland Cavaliers","east","32","50",97,100.5,"2000","n",11,-3.5
"Atlanta Hawks","east","28","54",94.3,99.7,"2000","n",14,-5.40000000000001
"Chicago Bulls","east","17","65",84.8,94.2,"2000","n",15,-9.40000000000001
"Philadelphia 76ers","east","56","26",94.7,90.4,"2001","y",1,4.3
"Miami Heat","east","50","32",88.9,86.6,"2001","y",3,2.30000000000001
"New York Knicks","east","48","34",88.7,86.1,"2001","y",4,2.60000000000001
"Orlando Magic","east","43","39",97.5,96.5,"2001","y",7,1
"Boston Celtics","east","36","46",94.6,96.8,"2001","n",9,-2.2
"New Jersey Nets","east","26","56",92.1,97.1,"2001","n",12,-5
"Washington Wizards","east","19","63",93.2,99.9,"2001","n",14,-6.7
"Milwaukee Bucks","east","52","30",100.7,96.9,"2001","y",2,3.8
"Toronto Raptors","east","47","35",97.6,95.4,"2001","y",5,2.19999999999999
"Charlotte Hornets","east","46","36",91.9,89.8,"2001","y",6,2.10000000000001
"Indiana Pacers","east","41","41",92.6,92.8,"2001","y",8,-0.200000000000003
"Detroit Pistons","east","32","50",95.6,97.3,"2001","n",10,-1.7
"Cleveland Cavaliers","east","30","52",92.2,96.5,"2001","n",11,-4.3
"Atlanta Hawks","east","25","57",91,96.2,"2001","n",13,-5.2
"Chicago Bulls","east","15","67",87.6,96.7,"2001","n",15,-9.10000000000001
"New Jersey Nets","east","52","30",96.2,92,"2002","y",1,4.2
"Boston Celtics","east","49","33",96.4,94.1,"2002","y",3,2.30000000000001
"Orlando Magic","east","44","38",100.5,98.9,"2002","y",5,1.59999999999999
"Philadelphia 76ers","east","43","39",91,89.4,"2002","y",6,1.59999999999999
"Washington Wizards","east","37","45",92.8,94.2,"2002","n",10,-1.40000000000001
"Miami Heat","east","36","46",87.2,88.7,"2002","n",11,-1.5
"New York Knicks","east","30","52",91.6,95.6,"2002","n",13,-4
"Detroit Pistons","east","50","32",94.3,92.2,"2002","y",2,2.09999999999999
"Charlotte Hornets","east","44","38",93.9,92.9,"2002","y",4,1
"Toronto Raptors","east","42","40",91.4,91.8,"2002","y",7,-0.399999999999991
"Indiana Pacers","east","42","40",96.8,96.5,"2002","y",8,0.299999999999997
"Milwaukee Bucks","east","41","41",97.5,97.7,"2002","n",9,-0.200000000000003
"Atlanta Hawks","east","33","49",94,98.3,"2002","n",12,-4.3
"Cleveland Cavaliers","east","29","53",95.3,98.6,"2002","n",14,-3.3
"Chicago Bulls","east","21","61",89.5,98,"2002","n",15,-8.5
"New Jersey Nets","east","49","33",95.4,90.1,"2003","y",2,5.30000000000001
"Philadelphia 76ers","east","48","34",96.8,94.5,"2003","y",4,2.3
"Boston Celtics","east","44","38",92.7,93.1,"2003","y",6,-0.399999999999991
"Orlando Magic","east","42","40",98.5,98.4,"2003","y",8,0.0999999999999943
"Washington Wizards","east","37","45",91.5,92.5,"2003","n",9,-1
"New York Knicks","east","37","45",95.9,97.2,"2003","n",10,-1.3
"Miami Heat","east","25","57",85.6,90.6,"2003","n",13,-5
"Detroit Pistons","east","50","32",91.4,87.7,"2003","y",1,3.7
"Indiana Pacers","east","48","34",96.8,93.3,"2003","y",3,3.5
"New Orleans Hornets","east","47","35",93.9,91.8,"2003","y",5,2.10000000000001
"Milwaukee Bucks","east","42","40",99.5,99.3,"2003","y",7,0.200000000000003
"Atlanta Hawks","east","35","47",94.1,97.6,"2003","n",11,-3.5
"Chicago Bulls","east","30","52",95,100.1,"2003","n",12,-5.09999999999999
"Toronto Raptors","east","24","58",90.9,96.8,"2003","n",14,-5.89999999999999
"Cleveland Cavaliers","east","17","65",91.4,101,"2003","n",15,-9.59999999999999
"New Jersey Nets","east","47","35",90.3,87.8,"2004","y",2,2.5
"Miami Heat","east","42","40",90.3,89.7,"2004","y",4,0.599999999999994
"New York Knicks","east","39","43",92,93.5,"2004","y",7,-1.5
"Boston Celtics","east","36","46",95.3,96.7,"2004","y",8,-1.40000000000001
"Philadelphia 76ers","east","33","49",88,90.5,"2004","n",11,-2.5
"Washington Wizards","east","25","57",91.8,97.4,"2004","n",13,-5.60000000000001
"Orlando Magic","east","21","61",94,101.1,"2004","n",15,-7.09999999999999
"Indiana Pacers","east","61","21",91.4,85.6,"2004","y",1,5.80000000000001
"Detroit Pistons","east","54","28",90.1,84.3,"2004","y",3,5.8
"New Orleans Hornets","east","41","41",91.8,91.9,"2004","y",5,-0.100000000000009
"Milwaukee Bucks","east","41","41",98,97,"2004","y",6,1
"Cleveland Cavaliers","east","35","47",92.9,95.5,"2004","n",9,-2.59999999999999
"Toronto Raptors","east","33","49",85.4,88.5,"2004","n",10,-3.09999999999999
"Atlanta Hawks","east","28","54",92.8,97.5,"2004","n",12,-4.7
"Chicago Bulls","east","23","59",89.7,96,"2004","n",14,-6.3
"Boston Celtics","east","45","37",101.3,100.4,"2005","y",3,0.899999999999991
"Philadelphia 76ers","east","43","39",99.1,99.9,"2005","y",7,-0.800000000000011
"New Jersey Nets","east","42","40",91.4,92.9,"2005","y",8,-1.5
"Toronto Raptors","east","33","49",99.7,101.4,"2005","n",11,-1.7
"New York Knicks","east","33","49",97.3,99.7,"2005","n",12,-2.40000000000001
